Rank,Title,Year,Rating
1,1. The Shawshank Redemption,1994,9.3
2,2. The Godfather,1972,9.2
3,3. The Dark Knight,2008,9.1
4,4. The Godfather Part II,1974,9.0
5,5. 12 Angry Men,1957,9.0
6,6. The Lord of the Rings: The Return of the King,2003,9.0
7,7. Schindler's List,1993,9.0
8,8. Pulp Fiction,1994,8.8
9,9. The Lord of the Rings: The Fellowship of the Ring,2001,8.9
10,"10. The Good, the Bad and the Ugly",1966,8.8
11,11. Forrest Gump,1994,8.8
12,12. The Lord of the Rings: The Two Towers,2002,8.8
13,13. Fight Club,1999,8.8
14,14. Inception,2010,8.8
15,15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7
16,16. The Matrix,1999,8.7
17,17. GoodFellas,1990,8.7
18,18. Interstellar,2014,8.7
19,19. One Flew Over the Cuckoo's Nest,1975,8.7
20,20. Seven,1995,8.6
21,21. It's a Wonderful Life,1946,8.6
22,22. The Silence of the Lambs,1991,8.6
23,23. Seven Samurai,1954,8.6
24,24. Saving Private Ryan,1998,8.6
25,25. The Green Mile,1999,8.6
26,26. City of God,2002,8.6
27,27. Life Is Beautiful,1997,8.6
28,28. Terminator 2: Judgment Day,1991,8.6
29,29. Star Wars: Episode IV - A New Hope,1977,8.6
30,30. Back to the Future,1985,8.5
31,31. Spirited Away,2001,8.6
32,32. The Pianist,2002,8.5
33,33. Gladiator,2000,8.5
34,34. Parasite,2019,8.5
35,35. Psycho,1960,8.5
36,36. The Lion King,1994,8.5
37,37. Grave of the Fireflies,1988,8.5
38,38. The Departed,2006,8.5
39,39. Whiplash,2014,8.5
40,40. Harakiri,1962,8.6
41,41. The Prestige,2006,8.5
42,42. American History X,1998,8.5
